Unnamed: 0,Date,Open,High,Low,Close,Volume,Year,Sentiment,SPY,Debt_to_Equity_Ratio,Revenue_Growth,operatingCashflow,Free_Cash_Flow,ROE,reportedEPS,PE_Ratio
0,2010-01-04,55.52,55.73,52.96,53.48,2462800.0,2010,,53.48,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,668.5
1,2010-01-05,53.57,53.6,50.81,51.51,3393300.0,2010,,51.51,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,643.875
2,2010-01-06,51.53,53.71,50.38,53.32,3327200.0,2010,,53.32,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,666.5
3,2010-01-07,54.12,54.3,52.2406,52.4,1422200.0,2010,1.0,52.4,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,655.0
4,2010-01-08,52.49,54.2,52.26,53.3,1168700.0,2010,,53.3,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,666.25
5,2010-01-11,53.62,53.93,52.7,53.23,969100.0,2010,,53.23,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,665.375
6,2010-01-12,52.7,53.08,52.16,52.37,904300.0,2010,,52.37,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,654.625
7,2010-01-13,53.29,54.28,52.91,53.96,2060300.0,2010,,53.96,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,674.5
8,2010-01-14,52.63,53.03,50.89,50.99,2526500.0,2010,,50.99,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,637.375
9,2010-01-15,50.72,51.85,50.63,50.95,1861600.0,2010,,50.95,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,636.875
10,2010-01-19,50.75,51.68,50.7,51.2,757500.0,2010,,51.2,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,640.0
11,2010-01-20,50.86,52.45,50.55,51.24,1383600.0,2010,,51.24,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,640.5
12,2010-01-21,50.52,52.18,50.5,51.19,1230700.0,2010,,51.19,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,639.875
13,2010-01-22,51.08,52.39,50.5,50.89,1342200.0,2010,,50.89,2.4132959732453565,5.062866326337678,105817000,83384000,0.15523016124091732,0.08,636.125
